年月日,摘要,支出,存入,結存,備註
1130401,中華電信,246,5641693,3546895,
1130408,台電電費,29930,06239070018,3516965,
1130408,跨行轉入,141010000661,C1-14,11923,3528888,(11/01)
1130408,轉帳,143010005787,T8-1,12755,3541643,
1130409,匯出匯款,210000, ,3331643,3月保全物業
1130409,匯出匯款,2000, ,3329643,3月付水
1130409,匯出匯款,58500, ,3271143,3月電費
1130409,匯出匯款,14000, ,3257143,3月機電
1130409,匯出匯款,22000, ,3235143,3月網路
1130409,匯出匯款,103800, ,3131343,3月清繳
1130409,匯出匯款,20030, ,3111313,退貨
1130409,現金, ,5339,3105974,3月費用金
1130410,匯入匯款, ,20000,3125974,尚捷有限公司
1130410,匯出匯款, ,7000,3118974,流量計校正
1130410,匯出匯款, ,12000,3106974,汙水檢測
1130410,現金, ,7688,3099286,退網路線
1130410,現金, ,500,3098786,偵探器
1130415,台水水費, ,2712,3096074,31120354020
1130415,轉帳,140070000616, ,3111260,E2-8 15186 (109.7)
1130415,轉帳,141070001039, ,3133224,E2-8 21964 (111.7)
1130417,跨行轉入,140010000462, ,3158080,B7-1D 24856 (110.1)
1130424,網銀轉帳,140010000462, ,3222179,E1-14 64099 (109.1)
1130425,中華電信, ,682,3221497,5641692
1130425,轉帳,149010000279, ,3241913,E1-1 20416 (109.1)
1130426,現金,149070000653, ,3258411,E1-7 16498 (109.7)
1130429,跨行轉入,149070000419, ,3266784,A5-13 8373 (109.7)
1130430,中華電信, ,293,3266491,5641693
