年月日,摘要,支出,存入,結存,備註
1130801,跨行轉入,B2-4,15357,,"5358268",
1130801,跨行轉入,C3-5,10000,,"5368268",
1130801,跨行轉入,C3-5,4418,,"5372686",
1130801,繳稅轉帳,D2-11,15413,,"5388099",
1130801,跨行轉入,C2-8,24128,,"5412227",
1130801,跨行轉入,D2-2管理,15792,,"5428019",
1130801,跨行轉入,D3-1,18691,,"5446710",
1130802,現金,,"10000",,存款64217
1130802,保家回饋金,,"7390",,"5456710",
1130805,跨行轉入,C5-3,66305,,"5464100",
1130805,跨行轉入,C6-12,66305,,"5530405",
1130805,台電電費,40461,06239070018,"5489944",
1130805,轉帳,B3-12,15357,,"5505301",
1130805,轉帳,B5-6,15816,,"5521117",
1130805,轉帳,D5-11,17916,,"5539033",
1130805,轉帳,E1-7,26349,,"5565382",
1130805,轉帳,S2-1,3803,,"5569185",
1130805,轉帳,C9-3,7078,,"5576263",
1130805,轉帳,A3-13,7333,,"5583596",
1130805,轉帳,C2-2,7630,,"5591226",
1130805,轉帳,T1-1,8673,,"5599899"
